epoch, batch, loss, loss_f, f_mae, f_rmse
    1,     1,         0.060299,         0.060299,         0.071158,          0.11676
    1,     2,          0.33306,          0.33306,           0.1595,          0.27441
    1,     3,           3.3856,           3.3856,          0.54633,          0.87489
    1,     4,          0.34099,          0.34099,          0.16116,          0.27765
    1,     5,          0.92436,          0.92436,           0.2587,          0.45714
    2,     1,         0.055959,         0.055959,         0.066834,          0.11248
    2,     2,          0.33753,          0.33753,          0.16064,          0.27624
    2,     3,           0.3205,           0.3205,          0.15563,          0.26918
    2,     4,           3.2142,           3.2142,          0.52469,          0.85244
    2,     5,          0.90275,          0.90275,          0.25501,          0.45177
    3,     1,          0.05964,          0.05964,         0.070589,          0.11612
    3,     2,          0.89124,          0.89124,          0.25271,          0.44888
    3,     3,          0.31369,          0.31369,          0.15661,          0.26631
    3,     4,           3.0715,           3.0715,          0.50585,          0.83331
    3,     5,          0.32485,          0.32485,          0.16334,            0.271
    4,     1,          0.30944,          0.30944,           0.1583,           0.2645
    4,     2,         0.070465,         0.070465,         0.082101,          0.12622
    4,     3,          0.84721,          0.84721,          0.24635,          0.43765
    4,     4,          0.31223,          0.31223,          0.16486,          0.26568
    4,     5,           2.8474,           2.8474,           0.4832,          0.80233
    5,     1,          0.29318,          0.29318,          0.15792,          0.25745
    5,     2,          0.29736,          0.29736,           0.1644,          0.25928
    5,     3,         0.086957,         0.086957,         0.097382,          0.14021
    5,     4,          0.78922,          0.78922,          0.24876,          0.42241
    5,     5,           2.5533,           2.5533,          0.46083,          0.75977
    6,     1,         0.096494,         0.096494,          0.10516,           0.1477
    6,     2,          0.26222,          0.26222,          0.15471,          0.24348
    6,     3,           2.2631,           2.2631,          0.43652,          0.71528
    6,     4,          0.24883,          0.24883,          0.16034,          0.23718
    6,     5,          0.73615,          0.73615,          0.25432,          0.40796
    7,     1,          0.23486,          0.23486,          0.15323,          0.23043
    7,     2,          0.21758,          0.21758,          0.15523,          0.22179
    7,     3,          0.68966,          0.68966,          0.25558,          0.39487
    7,     4,            1.468,            1.468,          0.36686,           0.5761
    7,     5,          0.12383,          0.12383,          0.11972,          0.16732
    8,     1,           1.1016,           1.1016,          0.32803,          0.49905
    8,     2,           0.1136,           0.1136,          0.11202,          0.16026
    8,     3,           0.1326,           0.1326,          0.12971,          0.17314
    8,     4,          0.12651,          0.12651,          0.12965,          0.16912
    8,     5,          0.54478,          0.54478,          0.22347,          0.35095
    9,     1,          0.40672,          0.40672,          0.20856,          0.30323
    9,     2,          0.10549,          0.10549,          0.12427,          0.15443
    9,     3,          0.46619,          0.46619,          0.20115,          0.32465
    9,     4,         0.065124,         0.065124,          0.10247,          0.12134
    9,     5,          0.35173,          0.35173,          0.18335,          0.28199
   10,     1,           0.7898,           0.7898,          0.31695,          0.42256
