epoch, wall, LR,training_loss_f,training_loss,training_f_mae,training_f_rmse,validation_loss_f,validation_loss,validation_f_mae,validation_f_rmse
         1,    0.751,     0.01,           1.0089,           1.0089,        0.239,        0.478,           1.9827,           1.9827,        0.342,         0.67
         2,    0.920,     0.01,          0.96618,          0.96618,        0.233,        0.467,           1.9294,           1.9294,        0.337,         0.66
         3,    1.113,     0.01,          0.93218,          0.93218,         0.23,        0.459,           1.8462,           1.8462,         0.33,        0.646
         4,    1.269,     0.01,          0.87734,          0.87734,        0.227,        0.445,           1.7329,           1.7329,        0.322,        0.626
         5,    1.424,     0.01,            0.804,            0.804,        0.226,        0.426,           1.5623,           1.5623,        0.313,        0.594
         6,    1.580,     0.01,          0.72135,          0.72135,        0.222,        0.404,            1.309,            1.309,        0.297,        0.544
         7,    1.735,     0.01,          0.54679,          0.54679,         0.21,        0.352,          0.94142,          0.94142,        0.266,        0.461
         8,    1.891,     0.01,          0.40382,          0.40382,        0.185,        0.302,           0.5627,           0.5627,         0.22,        0.357
         9,    2.047,     0.01,          0.27905,          0.27905,        0.164,        0.251,          0.53841,          0.53841,        0.213,        0.349
        10,    2.203,     0.01,          0.44311,          0.44311,        0.197,        0.317,          0.46293,          0.46293,        0.213,        0.324
        11,    2.360,     0.01,          0.22163,          0.22163,        0.139,        0.224,          0.61477,          0.61477,        0.219,        0.373
        12,    2.512,     0.01,           0.2976,           0.2976,        0.156,        0.259,          0.62167,          0.62167,         0.21,        0.375
        13,    2.665,     0.01,          0.25887,          0.25887,        0.151,        0.242,          0.54611,          0.54611,        0.198,        0.351
        14,    2.817,     0.01,          0.21354,          0.21354,        0.138,         0.22,          0.41597,          0.41597,        0.194,        0.307
        15,    2.970,     0.01,          0.16684,          0.16684,        0.118,        0.194,           0.3555,           0.3555,        0.185,        0.284
        16,    3.130,     0.01,          0.15826,          0.15826,        0.119,        0.189,          0.31835,          0.31835,        0.179,        0.268
        17,    3.280,     0.01,          0.15159,          0.15159,        0.119,        0.185,          0.33656,          0.33656,        0.182,        0.276
        18,    3.433,     0.01,          0.14202,          0.14202,        0.114,        0.179,            0.339,            0.339,        0.178,        0.277
        19,    3.584,     0.01,          0.13124,          0.13124,        0.106,        0.172,          0.35103,          0.35103,        0.178,        0.282
        20,    3.737,     0.01,          0.13431,          0.13431,        0.109,        0.174,          0.36502,          0.36502,        0.184,        0.287
        21,    3.891,     0.01,          0.12169,          0.12169,        0.108,        0.166,          0.33659,          0.33659,        0.176,        0.276
        22,    4.043,     0.01,          0.11023,          0.11023,        0.102,        0.158,          0.31595,          0.31595,         0.17,        0.267
        23,    4.198,     0.01,          0.10475,          0.10475,       0.0959,        0.154,          0.32404,          0.32404,        0.173,        0.271
        24,    4.351,     0.01,         0.095589,         0.095589,       0.0985,        0.147,          0.31507,          0.31507,        0.167,        0.267
        25,    4.507,     0.01,         0.087187,         0.087187,       0.0943,         0.14,          0.30815,          0.30815,        0.165,        0.264
        26,    4.658,     0.01,         0.084459,         0.084459,       0.0888,        0.138,          0.32114,          0.32114,        0.171,        0.269
        27,    4.806,     0.01,         0.076264,         0.076264,       0.0854,        0.131,          0.31223,          0.31223,        0.166,        0.266
        28,    4.957,     0.01,         0.081317,         0.081317,       0.0956,        0.136,          0.30591,          0.30591,        0.163,        0.263
        29,    5.106,     0.01,         0.076032,         0.076032,       0.0889,        0.131,            0.301,            0.301,        0.164,        0.261
        30,    5.259,     0.01,         0.065944,         0.065944,       0.0845,        0.122,          0.30203,          0.30203,        0.162,        0.261
        31,    5.410,     0.01,         0.059056,         0.059056,       0.0807,        0.116,          0.31199,          0.31199,        0.159,        0.266
        32,    5.585,     0.01,         0.068298,         0.068298,       0.0855,        0.124,          0.29895,          0.29895,        0.153,         0.26
        33,    5.742,     0.01,         0.069844,         0.069844,       0.0798,        0.126,          0.33731,          0.33731,        0.172,        0.276
        34,    5.893,     0.01,          0.05589,          0.05589,        0.074,        0.112,          0.30554,          0.30554,        0.153,        0.263
        35,    6.047,     0.01,         0.052797,         0.052797,        0.074,        0.109,          0.31938,          0.31938,        0.156,        0.269
        36,    6.200,     0.01,         0.049646,         0.049646,       0.0718,        0.106,          0.30346,          0.30346,        0.155,        0.262
        37,    6.350,     0.01,         0.047044,         0.047044,       0.0691,        0.103,          0.29971,          0.29971,        0.153,         0.26
        38,    6.505,     0.01,         0.041374,         0.041374,       0.0651,       0.0967,           0.3328,           0.3328,        0.157,        0.274
        39,    6.657,     0.01,         0.041715,         0.041715,       0.0648,       0.0971,          0.31025,          0.31025,        0.143,        0.265
        40,    6.811,     0.01,         0.033713,         0.033713,       0.0597,       0.0873,          0.32627,          0.32627,        0.154,        0.272
        41,    6.963,     0.01,         0.032419,         0.032419,       0.0575,       0.0856,          0.31513,          0.31513,        0.151,        0.267
        42,    7.115,     0.01,         0.033069,         0.033069,        0.059,       0.0865,          0.32192,          0.32192,        0.149,         0.27
        43,    7.267,     0.01,         0.027662,         0.027662,       0.0546,       0.0791,          0.33753,          0.33753,        0.149,        0.276
        44,    7.420,     0.01,          0.03447,          0.03447,       0.0608,       0.0883,          0.33401,          0.33401,        0.144,        0.275
        45,    7.573,     0.01,         0.024717,         0.024717,       0.0512,       0.0748,          0.33353,          0.33353,        0.153,        0.275
        46,    7.726,     0.01,         0.028529,         0.028529,       0.0546,       0.0803,            0.319,            0.319,        0.142,        0.269
        47,    7.879,     0.01,         0.021131,         0.021131,       0.0478,       0.0691,          0.31727,          0.31727,        0.142,        0.268
        48,    8.030,     0.01,         0.020421,         0.020421,       0.0479,       0.0679,          0.35373,          0.35373,        0.157,        0.283
        49,    8.185,     0.01,         0.026786,         0.026786,       0.0522,       0.0778,          0.35366,          0.35366,        0.146,        0.283
        50,    8.342,     0.01,         0.025876,         0.025876,        0.056,       0.0765,          0.33213,          0.33213,        0.147,        0.274
        51,    8.491,     0.01,         0.030025,         0.030025,       0.0585,       0.0824,          0.33154,          0.33154,         0.15,        0.274
        52,    8.644,     0.01,         0.026848,         0.026848,       0.0541,       0.0779,          0.37567,          0.37567,        0.156,        0.291
        53,    8.795,     0.01,         0.046855,         0.046855,       0.0693,        0.103,          0.33213,          0.33213,        0.157,        0.274
        54,    8.947,     0.01,         0.046019,         0.046019,       0.0716,        0.102,          0.34075,          0.34075,         0.14,        0.278
        55,    9.101,     0.01,         0.024379,         0.024379,       0.0518,       0.0742,          0.31766,          0.31766,        0.142,        0.268
        56,    9.255,     0.01,         0.019776,         0.019776,       0.0447,       0.0669,          0.32634,          0.32634,        0.142,        0.272
        57,    9.408,     0.01,         0.027316,         0.027316,       0.0532,       0.0786,          0.34546,          0.34546,        0.138,        0.279
        58,    9.560,     0.01,         0.020749,         0.020749,       0.0488,       0.0685,          0.36305,          0.36305,        0.155,        0.286
        59,    9.713,     0.01,         0.024616,         0.024616,       0.0501,       0.0746,          0.33649,          0.33649,        0.144,        0.276
        60,    9.864,     0.01,         0.019974,         0.019974,       0.0447,       0.0672,          0.35554,          0.35554,        0.141,        0.284
        61,   10.015,     0.01,         0.024301,         0.024301,       0.0527,       0.0741,          0.34412,          0.34412,        0.139,        0.279
        62,   10.168,     0.01,         0.019344,         0.019344,       0.0427,       0.0661,          0.33823,          0.33823,         0.14,        0.277
        63,   10.320,     0.01,         0.023952,         0.023952,       0.0489,       0.0736,          0.37038,          0.37038,        0.146,        0.289
        64,   10.474,     0.01,         0.022094,         0.022094,       0.0498,       0.0707,          0.36488,          0.36488,        0.144,        0.287
        65,   10.628,     0.01,         0.026307,         0.026307,       0.0512,       0.0771,          0.35104,          0.35104,        0.147,        0.282
        66,   10.780,     0.01,         0.027918,         0.027918,       0.0598,       0.0794,          0.33955,          0.33955,        0.143,        0.277
        67,   10.949,     0.01,         0.034841,         0.034841,        0.061,       0.0888,          0.33571,          0.33571,        0.138,        0.275
        68,   11.137,     0.01,         0.014973,         0.014973,       0.0401,       0.0582,          0.36338,          0.36338,         0.15,        0.287
        69,   11.304,     0.01,         0.018264,         0.018264,       0.0475,       0.0643,          0.34232,          0.34232,        0.139,        0.278
        70,   11.454,     0.01,         0.030547,         0.030547,        0.055,       0.0831,          0.34288,          0.34288,         0.14,        0.278
        71,   11.604,     0.01,         0.029074,         0.029074,       0.0587,       0.0811,          0.35182,          0.35182,        0.147,        0.282
        72,   11.754,     0.01,         0.015057,         0.015057,       0.0411,       0.0583,          0.35274,          0.35274,        0.142,        0.282
        73,   11.907,     0.01,           0.0183,           0.0183,       0.0424,       0.0643,          0.33031,          0.33031,        0.132,        0.273
        74,   12.058,     0.01,          0.01214,          0.01214,       0.0378,       0.0524,          0.35182,          0.35182,        0.133,        0.282
