epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
         1,    6.952,    0.005,          0.60866,         0.011699,          0.62036,         16.5,         23.9,         10.4,         23.6,           17,         14.5,         31.3,         22.9,         46.6,         3.11,          0.23013,       0.00073553,          0.23086,         10.6,         14.7,         6.53,         15.2,         10.9,         8.29,         19.6,         13.9,         11.8,        0.785
         2,   13.133,    0.005,           0.1598,        0.0077931,          0.16759,            9,         12.2,         5.91,         12.5,         9.22,         7.59,           16,         11.8,         33.1,         2.21,          0.11289,       0.00014801,          0.11304,         7.61,         10.3,         4.74,         10.9,         7.81,         6.05,         13.6,         9.83,         4.75,        0.316
         3,   18.764,    0.005,         0.088579,       0.00039407,         0.088973,         6.74,         9.11,         4.51,         9.29,          6.9,         5.74,         11.8,         8.79,         7.73,        0.515,          0.07047,       8.2316e-05,         0.070553,         5.94,         8.13,          3.8,          8.4,          6.1,         4.89,         10.7,         7.79,         3.51,        0.234
         4,   24.429,    0.005,         0.052507,       0.00035152,         0.052858,         5.17,         7.02,          3.5,         7.07,         5.29,         4.54,         9.05,          6.8,         7.14,        0.476,         0.044624,       3.1107e-05,         0.044655,         4.72,         6.47,         3.13,         6.55,         4.84,         4.11,         8.39,         6.25,         2.16,        0.144
         5,   30.122,    0.005,         0.030283,       0.00015401,         0.030437,         3.98,         5.33,         2.94,         5.18,         4.06,         3.85,         6.63,         5.24,         4.76,        0.317,         0.027186,       1.2699e-05,         0.027199,         3.75,         5.05,         2.74,         4.91,         3.82,         3.61,          6.3,         4.96,         1.31,       0.0872
         6,   35.842,    0.005,         0.017243,       0.00017232,         0.017416,         3.07,         4.02,         2.55,         3.67,         3.11,         3.33,         4.69,         4.01,          4.5,          0.3,         0.017147,       1.0007e-05,         0.017157,         3.04,         4.01,         2.51,         3.64,         3.08,         3.33,         4.67,            4,         1.21,       0.0804
         7,   41.580,    0.005,         0.013391,       1.6574e-05,         0.013408,         2.68,         3.54,          2.2,         3.22,         2.71,         2.89,         4.17,         3.53,         1.53,        0.102,         0.012526,       8.3048e-06,         0.012534,         2.58,         3.43,         2.26,         2.94,          2.6,         3.01,         3.84,         3.43,         1.13,       0.0753
         8,   47.324,    0.005,        0.0095794,        4.137e-05,        0.0096208,         2.27,            3,         1.93,         2.66,         2.29,         2.53,         3.45,         2.99,         2.38,        0.159,         0.010094,        7.933e-06,         0.010102,         2.31,         3.08,         2.04,         2.61,         2.33,         2.72,         3.43,         3.08,         1.11,       0.0738
         9,   53.088,    0.005,        0.0096724,       7.0645e-05,        0.0097431,         2.24,         3.01,         1.77,         2.77,         2.27,         2.33,         3.64,         2.98,         3.35,        0.224,        0.0085595,       5.7364e-06,        0.0085652,         2.12,         2.83,         1.86,         2.42,         2.14,          2.5,         3.17,         2.84,        0.828,       0.0552
        10,   58.926,    0.005,        0.0081555,       4.4694e-05,        0.0082002,         2.08,         2.77,         1.66,         2.55,         2.11,         2.19,          3.3,         2.75,          2.5,        0.166,        0.0076245,       5.0265e-06,        0.0076295,         1.99,         2.67,         1.73,         2.29,         2.01,         2.35,            3,         2.68,        0.781,       0.0521
